accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K00058						D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	K00058
K00059						3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	K00059
K00060						threonine 3-dehydrogenase [EC:1.1.1.103]	K00060
K00062						D-arabinose 1-dehydrogenase [EC:1.1.1.116]	K00062
K00064						D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	K00064
K00065						2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	K00065
K00066						GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	K00066
K00067						dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	K00067
K00069						15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	K00069
K00073						ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	K00073
K00074						3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	K00074
K00075						UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	K00075
K00076						7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	K00076
K00077						2-dehydropantoate 2-reductase [EC:1.1.1.169]	K00077
K00078						dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	K00078
K00079						carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	K00079
K00082						5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	K00082
K00087						xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	K00087
K00088						IMP dehydrogenase [EC:1.1.1.205]	K00088
K00090						glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	K00090
K00091						dihydroflavonol-4-reductase [EC:1.1.1.219]	K00091
K00096						glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	K00096
K00097						4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	K00097
K00098						L-idonate 5-dehydrogenase [EC:1.1.1.264]	K00098
K00099						1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	K00099
K00101						L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	K00101
K00102						D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	K00102
K00104						glycolate oxidase [EC:1.1.3.15]	K00104
K00106						xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	K00106
K00108						choline dehydrogenase [EC:1.1.99.1]	K00108
K00109						2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	K00109
K00111						glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	K00111
K00112						glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	K00112
K00113						glycerol-3-phosphate dehydrogenase subunit C	K00113
K00114						alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	K00114
K00116						malate dehydrogenase (quinone) [EC:1.1.5.4]	K00116
K00117						quinoprotein glucose dehydrogenase [EC:1.1.5.2]	K00117
K00118						glucose-fructose oxidoreductase [EC:1.1.99.28]	K00118
K00119						alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]	K00119
K00121						S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	K00121
K00122						formate dehydrogenase [EC:1.17.1.9]	K00122
K00123						formate dehydrogenase major subunit [EC:1.17.1.9]	K00123
K00124						formate dehydrogenase iron-sulfur subunit	K00124
K00126						formate dehydrogenase subunit delta [EC:1.17.1.9]	K00126
K00127						formate dehydrogenase subunit gamma	K00127
K00128						aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	K00128
K00130						betaine-aldehyde dehydrogenase [EC:1.2.1.8]	K00130
K00131						glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	K00131
K00132						acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	K00132
K00133						aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	K00133
K00134						glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	K00134
K00135						succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	K00135
K00137						aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	K00137
K00138						aldehyde dehydrogenase [EC:1.2.1.-]	K00138
K00140						malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	K00140
K00141						benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	K00141
K00143						L-2-aminoadipate reductase [EC:1.2.1.95]	K00143
K00145						N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	K00145
K00146						phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	K00146
K00147						glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	K00147
K00148						glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	K00148
K00151						5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	K00151
K00153						S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	K00153
K00154						coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	K00154
K00156						pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	K00156
K00161						pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	K00161
K00162						pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	K00162
K00163						pyruvate dehydrogenase E1 component [EC:1.2.4.1]	K00163
K00164						2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	K00164
K00166						2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	K00166
K00167						2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	K00167
K00169						pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	K00169
K00170						pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	K00170
K00171						pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	K00171
K00172						pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	K00172
K00174						2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	K00174
K00175						2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	K00175
K00176						2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	K00176
K00177						2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	K00177
K00179						"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"	K00179
K00180						"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"	K00180
K00196						anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	K00196
K00200						formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	K00200
K00201						formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	K00201
K00202						formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	K00202
K00203						formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	K00203
K00206						phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]	K00206
K00207						dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	K00207
K00208						enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	K00208
K00209						enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	K00209
K00211						prephenate dehydrogenase (NADP+) [EC:1.3.1.13]	K00211
K00215						4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	K00215
K00216						"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"	K00216
K00217						maleylacetate reductase [EC:1.3.1.32]	K00217
K00218						protochlorophyllide reductase [EC:1.3.1.33]	K00218
K00219						"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"	K00219
K00220						cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	K00220
K00222						Delta14-sterol reductase [EC:1.3.1.70]	K00222
K00223						Delta24(24(1))-sterol reductase [EC:1.3.1.71]	K00223
K00226						dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	K00226
K00227						Delta7-sterol 5-desaturase [EC:1.14.19.20]	K00227
K00228						coproporphyrinogen III oxidase [EC:1.3.3.3]	K00228
K00230						menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	K00230
K00231						protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	K00231
K00232						acyl-CoA oxidase [EC:1.3.3.6]	K00232
K00234						succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	K00234
K00236						succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	K00236
K00237						succinate dehydrogenase (ubiquinone) membrane anchor subunit	K00237
K00239						"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"	K00239
K00240						"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"	K00240
K00241						"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	K00241
K00242						"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	K00242
K00243						uncharacterized protein	K00243
K00244						fumarate reductase flavoprotein subunit [EC:1.3.5.4]	K00244
K00245						fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	K00245
K00246						fumarate reductase subunit C	K00246
K00247						fumarate reductase subunit D	K00247
K00248						butyryl-CoA dehydrogenase [EC:1.3.8.1]	K00248
K00249						acyl-CoA dehydrogenase [EC:1.3.8.7]	K00249
K00252						glutaryl-CoA dehydrogenase [EC:1.3.8.6]	K00252
K00253						isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	K00253
K00254						dihydroorotate dehydrogenase [EC:1.3.5.2]	K00254
K00257						acyl-ACP dehydrogenase [EC:1.3.99.-]	K00257
K00259						alanine dehydrogenase [EC:1.4.1.1]	K00259
K00261						glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	K00261
K00262						glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	K00262
K00263						leucine dehydrogenase [EC:1.4.1.9]	K00263
K00265						glutamate synthase (NADPH) large chain [EC:1.4.1.13]	K00265
K00266						glutamate synthase (NADPH) small chain [EC:1.4.1.13]	K00266
K00271						valine dehydrogenase (NAD+) [EC:1.4.1.23]	K00271
K00273						D-amino-acid oxidase [EC:1.4.3.3]	K00273
K00274						monoamine oxidase [EC:1.4.3.4]	K00274
K00275						pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	K00275
K00276						primary-amine oxidase [EC:1.4.3.21]	K00276
K00278						L-aspartate oxidase [EC:1.4.3.16]	K00278
K00279						cytokinin dehydrogenase [EC:1.5.99.12]	K00279
K00281						glycine dehydrogenase [EC:1.4.4.2]	K00281
K00282						glycine dehydrogenase subunit 1 [EC:1.4.4.2]	K00282
K00283						glycine dehydrogenase subunit 2 [EC:1.4.4.2]	K00283
K00285						D-amino-acid dehydrogenase [EC:1.4.5.1]	K00285
K00286						pyrroline-5-carboxylate reductase [EC:1.5.1.2]	K00286
K00287						dihydrofolate reductase [EC:1.5.1.3]	K00287
K00288						methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	K00288
K00290						"saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"	K00290
K00294						1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	K00294
K00295						methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]	K00295
K00297						methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	K00297
K00298						N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]	K00298
K00299						FMN reductase [EC:1.5.1.38]	K00299
K00300						methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]	K00300
K00301						sarcosine oxidase [EC:1.5.3.1]	K00301
K00303						"sarcosine oxidase, subunit beta [EC:1.5.3.1]"	K00303
K00304						"sarcosine oxidase, subunit delta [EC:1.5.3.1]"	K00304
K00305						"sarcosine oxidase, subunit gamma [EC:1.5.3.1]"	K00305
K00306						sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	K00306
K00309						dimethylglycine oxidase [EC:1.5.3.10]	K00309
K00311						electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	K00311
K00313						electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	K00313
K00314						sarcosine dehydrogenase [EC:1.5.8.3]	K00314
K00315						dimethylglycine dehydrogenase [EC:1.5.8.4]	K00315
K00316						spermidine dehydrogenase [EC:1.5.99.6]	K00316
K00317						dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]	K00317
K00318						proline dehydrogenase [EC:1.5.5.2]	K00318
K00320						"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"	K00320
K00322						NAD(P) transhydrogenase [EC:1.6.1.1]	K00322
K00324						H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	K00324
K00325						H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	K00325
K00326						cytochrome-b5 reductase [EC:1.6.2.2]	K00326
K00327						NADPH-ferrihemoprotein reductase [EC:1.6.2.4]	K00327
K00330						NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	K00330
K00331						NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	K00331
K00332						NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	K00332
K00333						NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	K00333
K00334						NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	K00334
K00335						NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	K00335
K00336						NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	K00336
K00337						NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	K00337
K00338						NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	K00338
K00339						NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	K00339
K00340						NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	K00340
K00341						NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	K00341
K00342						NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	K00342
K00343						NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	K00343
K00344						NADPH:quinone reductase [EC:1.6.5.5]	K00344
K00351						Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]	K00351
K00354						NADPH2 dehydrogenase [EC:1.6.99.1]	K00354
K00355						NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	K00355
K00357						dihydropteridine reductase [EC:1.5.1.34]	K00357
K00360						assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	K00360
K00362						nitrite reductase (NADH) large subunit [EC:1.7.1.15]	K00362
K00363						nitrite reductase (NADH) small subunit [EC:1.7.1.15]	K00363
K00364						GMP reductase [EC:1.7.1.7]	K00364
K00365						urate oxidase [EC:1.7.3.3]	K00365
K00366						ferredoxin-nitrite reductase [EC:1.7.7.1]	K00366
K00368						nitrite reductase (NO-forming) [EC:1.7.2.1]	K00368
K00370						"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	K00370
K00371						"nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	K00371
K00372						assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	K00372
K00373						nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	K00373
K00374						nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	K00374
K00375						GntR family transcriptional regulator / MocR family aminotransferase	K00375
K00376						nitrous-oxide reductase [EC:1.7.2.4]	K00376
K00380						sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	K00380
K00381						sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	K00381
K00382						dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K00382
K00383						glutathione reductase (NADPH) [EC:1.8.1.7]	K00383
K00384						thioredoxin reductase (NADPH) [EC:1.8.1.9]	K00384
K00386						sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]	K00386
K00387						sulfite oxidase [EC:1.8.3.1]	K00387
K00389						putative membrane protein	K00389
K00390						phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	K00390
K00392						sulfite reductase (ferredoxin) [EC:1.8.7.1]	K00392
K00394						"adenylylsulfate reductase, subunit A [EC:1.8.99.2]"	K00394
K00395						"adenylylsulfate reductase, subunit B [EC:1.8.99.2]"	K00395
K00404						cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	K00404
K00405						cytochrome c oxidase cbb3-type subunit II	K00405
K00406						cytochrome c oxidase cbb3-type subunit III	K00406
K00407						cytochrome c oxidase cbb3-type subunit IV	K00407
K00410						ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	K00410
K00411						ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	K00411
K00412						ubiquinol-cytochrome c reductase cytochrome b subunit	K00412
K00413						ubiquinol-cytochrome c reductase cytochrome c1 subunit	K00413
K00415						ubiquinol-cytochrome c reductase core subunit 2	K00415
K00416						ubiquinol-cytochrome c reductase subunit 6	K00416
K00417						ubiquinol-cytochrome c reductase subunit 7	K00417
K00420						ubiquinol-cytochrome c reductase subunit 10	K00420
K00422						polyphenol oxidase [EC:1.10.3.1]	K00422
K00424						cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]	K00424
K00425						cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	K00425
K00426						cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	K00426
K00428						cytochrome c peroxidase [EC:1.11.1.5]	K00428
K00432						glutathione peroxidase [EC:1.11.1.9]	K00432
K00433						non-heme chloroperoxidase [EC:1.11.1.10]	K00433
K00434						L-ascorbate peroxidase [EC:1.11.1.11]	K00434
K00435						hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]	K00435
K00436						NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	K00436
K00441						coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	K00441
K00446						"catechol 2,3-dioxygenase [EC:1.13.11.2]"	K00446
K00448						"protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"	K00448
K00449						"protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"	K00449
K00450						"gentisate 1,2-dioxygenase [EC:1.13.11.4]"	K00450
K00451						"homogentisate 1,2-dioxygenase [EC:1.13.11.5]"	K00451
K00452						"3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"	K00452
K00453						"tryptophan 2,3-dioxygenase [EC:1.13.11.11]"	K00453
K00455						"3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]"	K00455
K00456						cysteine dioxygenase [EC:1.13.11.20]	K00456
K00457						4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]	K00457
K00459						nitronate monooxygenase [EC:1.13.12.16]	K00459
K00463						"indoleamine 2,3-dioxygenase [EC:1.13.11.52]"	K00463
K00464						"all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]"	K00464
K00467						lactate 2-monooxygenase [EC:1.13.12.4]	K00467
K00468						lysine 2-monooxygenase [EC:1.13.12.2]	K00468
K00469						inositol oxygenase [EC:1.13.99.1]	K00469
K00471						gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	K00471
K00472						prolyl 4-hydroxylase [EC:1.14.11.2]	K00472
K00474						trimethyllysine dioxygenase [EC:1.14.11.8]	K00474
K00476						aspartate beta-hydroxylase [EC:1.14.11.16]	K00476
K00477						phytanoyl-CoA hydroxylase [EC:1.14.11.18]	K00477
K00479						glycine betaine catabolism A	K00479
K00480						salicylate hydroxylase [EC:1.14.13.1]	K00480
K00481						p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]	K00481
K00483						4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	K00483
K00484						flavin reductase (NADH) [EC:1.5.1.36]	K00484
K00485						dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]	K00485
K00486						kynurenine 3-monooxygenase [EC:1.14.13.9]	K00486
K00491						"nitric-oxide synthase, bacterial [EC:1.14.14.47]"	K00491
K00496						alkane 1-monooxygenase [EC:1.14.15.3]	K00496
K00499						choline monooxygenase [EC:1.14.15.7]	K00499
K00500						phenylalanine-4-hydroxylase [EC:1.14.16.1]	K00500
K00503						dopamine beta-monooxygenase [EC:1.14.17.1]	K00503
K00505						tyrosinase [EC:1.14.18.1]	K00505
K00507						stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]	K00507
K00508						linoleoyl-CoA desaturase [EC:1.14.19.3]	K00508
K00511						squalene monooxygenase [EC:1.14.14.17]	K00511
K00518						nickel superoxide dismutase [EC:1.15.1.1]	K00518
K00520						mercuric reductase [EC:1.16.1.1]	K00520
K00521						ferric-chelate reductase [EC:1.16.1.7]	K00521
K00523						"CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]"	K00523
K00525						ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	K00525
K00526						ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	K00526
K00527						ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	K00527
K00528						ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	K00528
K00529						3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	K00529
K00537						arsenate reductase (glutaredoxin) [EC:1.20.4.1]	K00537
K00540						F420H(2)-dependent quinone reductase [EC:1.1.98.-]	K00540
K00542						guanidinoacetate N-methyltransferase [EC:2.1.1.2]	K00542
K00543						acetylserotonin O-methyltransferase [EC:2.1.1.4]	K00543
K00544						betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	K00544
K00545						catechol O-methyltransferase [EC:2.1.1.6]	K00545
K00547						homocysteine S-methyltransferase [EC:2.1.1.10]	K00547
K00548						5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	K00548
K00549						5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	K00549
K00551						phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	K00551
K00554						tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	K00554
K00555						tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]	K00555
K00556						tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	K00556
K00558						DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	K00558
K00559						sterol 24-C-methyltransferase [EC:2.1.1.41]	K00559
K00560						thymidylate synthase [EC:2.1.1.45]	K00560
K00561						23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	K00561
K00563						23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	K00563
K00564						16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	K00564
K00565						mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]	K00565
K00566						tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	K00566
K00567						methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	K00567
